
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Taylor Gabriel	Cle	@Cin	0	0	0	0	0	0	0	0	0	0	3	31	0	0	0	0	3
Marques Colston	NO	SF	0	0	0	0	0	0	0	0	0	0	2	36	0	0	0	0	3
Jaron Brown	Ari	Stl	0	0	0	0	0	0	0	0	0	0	3	35	0	0	0	0	3
Kenny Britt	Stl	@Ari	0	0	0	0	0	0	0	0	0	0	3	31	0	0	0	0	3
Doug Baldwin	Sea	NYG	0	0	0	0	0	0	0	0	0	0	4	31	0	0	0	0	3
Tavon Austin	Stl	@Ari	0	0	0	0	0	0	1	10	0	0	2	20	0	0	0	0	3
Wes Welker	Den	@Oak	0	0	0	0	0	0	0	0	0	0	4	24	0	0	0	0	2
Sammy Watkins	Buf	KC	0	0	0	0	0	0	0	0	0	0	4	27	0	0	0	0	2
Kenny Stills	NO	SF	0	0	0	0	0	0	0	0	0	0	3	26	0	0	0	0	2
Mohamed Sanu	Cin	Cle	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	2
Lance Moore	Pit	@NYJ	0	0	0	0	0	0	0	0	0	0	2	28	0	0	0	0	2
Denarius Moore	Oak	Den	0	0	0	0	0	0	1	1	0	0	1	28	0	0	0	0	2
James Jones	Oak	Den	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	0	2
A.J. Jenkins	KC	@Buf	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	2
A.J. Green	Cin	Cle	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	2
Brandon Gibson	Mia	@Det	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	2
Harry Douglas	Atl	@TB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
Eric Decker	NYJ	Pit	0	0	0	0	0	0	0	0	0	0	3	24	0	0	0	0	2
Vincent Brown	Oak	Den	0	0	0	0	0	0	0	0	0	0	3	20	0	0	0	0	2
Brenton Bersin	Car	@Phi	0	0	0	0	0	0	0	0	0	0	2	24	0	0	0	0	2
James Wright	Cin	Cle	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	1
Steve Smith	Bal	Ten	0	0	0	0	0	0	0	0	0	0	3	17	0	0	0	0	1
Louis Murphy	TB	Atl	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1
Josh Morgan	Chi	@GB	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1
Rishard Matthews	Mia	@Det	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	1
Ricardo Lockette	Sea	NYG	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	1
Marqise Lee	Jac	Dal	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Justin Hunter	Ten	@Bal	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	1
Santonio Holmes	Chi	@GB	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1
Ted Ginn Jr.	Ari	Stl	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	1
Michael Floyd	Ari	Stl	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1
Jerricho Cotchery	Car	@Phi	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	1
Marlon Brown	Bal	Ten	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	1
Kamar Aiken	Bal	Ten	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Davante Adams	GB	Chi	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1
