
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Kelvin Benjamin	Car	@NO	0	0	0	0	0	0	0	0	0	0	2	24	1	0	0	0	8
Brian Hartline	Mia	Bal	0	0	0	0	0	0	0	0	0	0	2	11	1	0	0	0	7
Harry Douglas	Atl	@GB	0	0	0	0	0	0	0	0	0	0	2	11	1	0	0	0	7
Marques Colston	NO	Car	0	0	0	0	0	0	0	0	0	0	5	72	0	0	0	0	7
Eric Weems	Atl	@GB	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	6
Emmanuel Sanders	Den	Buf	0	0	0	0	0	0	1	13	0	0	4	56	0	0	0	0	6
Preston Parker	NYG	@Ten	0	0	0	0	0	0	0	0	0	0	5	60	0	0	0	0	6
Brandon Marshall	Chi	Dal	0	0	0	0	0	0	0	0	0	0	3	61	0	0	0	0	6
Marqise Lee	Jac	Hou	0	0	0	0	0	0	1	4	0	0	5	67	0	0	0	0	6
Derek Hagan	Ten	NYG	0	0	0	0	0	0	0	0	0	0	6	62	0	0	0	0	6
Jason Avant	KC	@Ari	0	0	0	0	0	0	0	0	0	0	5	64	0	0	0	0	6
Albert Wilson	KC	@Ari	0	0	0	0	0	0	0	0	0	0	4	53	0	0	0	0	5
Nate Washington	Ten	NYG	0	0	0	0	0	0	0	0	0	0	3	56	0	0	0	0	5
Golden Tate	Det	TB	0	0	0	0	0	0	0	0	0	0	4	50	0	0	0	0	5
Jarvis Landry	Mia	Bal	0	0	0	0	0	0	0	0	0	0	6	55	0	0	0	0	5
Greg Jennings	Min	NYJ	0	0	0	0	0	0	0	0	0	0	5	52	0	0	0	0	5
Michael Crabtree	SF	@Oak	0	0	0	0	0	0	0	0	0	0	9	56	0	0	0	0	5
Randall Cobb	GB	Atl	0	0	0	0	0	0	1	-1	0	0	4	58	0	0	0	0	5
Kenny Britt	Stl	@Was	0	0	0	0	0	0	0	0	0	0	2	52	0	0	0	0	5
Anquan Boldin	SF	@Oak	0	0	0	0	0	0	1	4	0	0	4	54	0	0	0	0	5
Tavon Austin	Stl	@Was	0	0	0	0	0	0	5	46	0	0	2	14	0	0	0	0	5
Nick Toon	NO	Car	0	0	0	0	0	0	0	0	0	0	4	45	0	0	0	0	4
Santana Moss	Was	Stl	0	0	0	0	0	0	0	0	0	0	3	43	0	0	0	0	4
Jermaine Kearse	Sea	@Phi	0	0	0	0	0	0	2	15	0	0	3	37	0	0	0	0	4
DeAndre Hopkins	Hou	@Jac	0	0	0	0	0	0	0	0	0	0	4	49	0	0	0	0	4
Philly Brown	Car	@NO	0	0	0	0	0	0	0	0	0	0	3	42	0	0	0	0	4
Stedman Bailey	Stl	@Was	0	0	0	0	0	0	0	0	0	0	2	47	0	0	0	0	4
Robert Woods	Buf	@Den	0	0	0	0	0	0	0	0	0	0	3	36	0	0	0	0	3
Markus Wheaton	Pit	@Cin	0	0	0	0	0	0	0	0	0	0	2	31	0	0	0	0	3
Mike Wallace	Mia	Bal	0	0	0	0	0	0	0	0	0	0	3	39	0	0	0	0	3
Eddie Royal	SD	NE	0	0	0	0	0	0	0	0	0	0	2	30	0	0	0	0	3
Denard Robinson	Jac	Hou	1	0	0	0	0	0	10	30	0	0	0	0	0	0	0	0	3
Donte Moncrief	Ind	@Cle	0	0	0	0	0	0	0	0	0	0	3	33	0	0	0	0	3
Brandon LaFell	NE	@SD	0	0	0	0	0	0	0	0	0	0	4	41	0	0	1	0	3
Andre Holmes	Oak	SF	0	0	0	0	0	0	0	0	0	0	2	38	0	0	0	0	3
Andrew Hawkins	Cle	Ind	0	0	0	0	0	0	0	0	0	0	4	38	0	0	0	0	3
Larry Fitzgerald	Ari	KC	0	0	0	0	0	0	0	0	0	0	4	34	0	0	0	0	3
Kris Durham	Ten	NYG	0	0	0	0	0	0	0	0	0	0	3	30	0	0	0	0	3
Marlon Brown	Bal	@Mia	0	0	0	0	0	0	0	0	0	0	3	30	0	0	0	0	3
Kenny Stills	NO	Car	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	2
Paul Richardson	Sea	@Phi	0	0	0	0	0	0	0	0	0	0	2	27	0	0	0	0	2
Kevin Norwood	Sea	@Phi	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	2
Joseph Morgan	NO	Car	0	0	0	0	0	0	0	0	0	0	2	23	0	0	0	0	2
Lance Moore	Pit	@Cin	0	0	0	0	0	0	0	0	0	0	1	29	0	0	0	0	2
Jordan Matthews	Phi	Sea	0	0	0	0	0	0	0	0	0	0	2	23	0	0	0	0	2
